name,type,hasOutputQuantity,hasProcessingTimeSim,hasProcessTypeSim,hasInput,hasCostSim,hasOutput,hasCarbonFootprintSim,connectedTo,hasInputQuantity,isMachineOf,isStorageOf
Blanking_Press_SidePanel,Simulation,['1'],['10'],['Press'],['Aluminum'],['10'],['SidePanel1'],['10'],['I_Storage_1'],['1'],['P1'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Drawing_Press_SidePanel,Simulation,['1'],['10'],['Press'],['Aluminum'],['10'],['SidePanel2'],['10'],['I_Storage_2'],['1'],['P2'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Piercing_Press_SidePanel,Simulation,['1'],['10'],['Press'],['Aluminum'],['10'],['SidePanel3'],['10'],['I_Storage_3'],['1'],['P3'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Blanking_Press_BackSheet,Simulation,['1'],['10'],['Press'],['Aluminum'],['10'],['BackSheet1'],['10'],['I_Storage_4'],['1'],['P4'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Drawing_Press_BackSheet,Simulation,['1'],['10'],['Press'],['Aluminum'],['10'],['BackSheet2'],['10'],['I_Storage_5'],['1'],['P5'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Piercing_Press_BackSheet,Simulation,['1'],['10'],['Press'],['Aluminum'],['10'],['BackSheet3'],['10'],['I_Storage_6'],['1'],['P6'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Blanking_Press_TopCover,Simulation,['1'],['10'],['Press'],['Steel'],['10'],['TopCover1'],['10'],['I_Storage_7'],['1'],['P7'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Drawing_Press_TopCover,Simulation,['1'],['10'],['Press'],['Steel'],['10'],['TopCover2'],['10'],['I_Storage_8'],['1'],['P8'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Piercing_Press_TopCover,Simulation,['1'],['10'],['Press'],['Steel'],['10'],['TopCover3'],['10'],['I_Storage_9'],['1'],['P9'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Blanking_Press_LowerCover,Simulation,['1'],['10'],['Press'],['Steel'],['10'],['LowerCover1'],['10'],['I_Storage_10'],['1'],['P10'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Drawing_Press_LowerCover,Simulation,['1'],['10'],['Press'],['Steel'],['10'],['LowerCover2'],['10'],['I_Storage_11'],['1'],['P11'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
Piercing_Press_LowerCover,Simulation,['1'],['10'],['Press'],['Steel'],['10'],['LowerCover3'],['10'],['I_Storage_12'],['1'],['P12'],기본 매핑 누락(원본 온톨로지에서 생성되지 않음)
